comuna,candi_primero,votos_primero,porc_primero,partido_primero,candi_segundo,votos_segundo,porc_segundo,partido_segundo,candi_tercero,votos_tercero,porc_tercero,partido_tercero
01,Patricia Bullrich,31226,29.04,Juntos por el Cambio,Javier Milei,20714,19.26,La Libertad Avanza,Horacio R. Larreta,19075,17.74,Juntos por el Cambio
02,Patricia Bullrich,38869,43,Juntos por el Cambio,Horacio R. Larreta,20385,22.55,Juntos por el Cambio,Javier Milei,12473,13.8,La Libertad Avanza
03,Patricia Bullrich,24010,24.28,Juntos por el Cambio,Javier Milei,19510,19.73,La Libertad Avanza,Sergio Massa,18478,18.69,Unión por la Patria
04,Javier Milei,24587,21.85,La Libertad Avanza,Sergio Massa,23112,20.54,Unión por la Patria,Patricia Bullrich,23044,20.48,Juntos por el Cambio
05,Patricia Bullrich,24536,24.6,Juntos por el Cambio,Horacio R. Larreta,19327,19.38,Juntos por el Cambio,Sergio Massa,18787,18.83,Unión por la Patria
06,Patricia Bullrich,33955,30.01,Juntos por el Cambio,Horacio R. Larreta,24305,21.48,Juntos por el Cambio,Sergio Massa,18353,16.22,Unión por la Patria
07,Patricia Bullrich,29638,24.93,Juntos por el Cambio,Javier Milei,24100,20.27,La Libertad Avanza,Horacio R. Larreta,21986,18.49,Juntos por el Cambio
08,Javier Milei,25504,27.49,La Libertad Avanza,Sergio Massa,20682,22.3,Unión por la Patria,Patricia Bullrich,15320,16.51,Juntos por el Cambio
09,Patricia Bullrich,23426,23.44,Juntos por el Cambio,Javier Milei,22158,22.18,La Libertad Avanza,Sergio Massa,18812,18.83,Unión por la Patria
10,Patricia Bullrich,26249,25.66,Juntos por el Cambio,Horacio R. Larreta,19523,19.09,Juntos por el Cambio,Javier Milei,19447,19.01,La Libertad Avanza
11,Patricia Bullrich,35196,28.48,Juntos por el Cambio,Horacio R. Larreta,25088,20.3,Juntos por el Cambio,Javier Milei,21371,17.29,La Libertad Avanza
12,Patricia Bullrich,38665,28.55,Juntos por el Cambio,Horacio R. Larreta,30051,22.19,Juntos por el Cambio,Javier Milei,21857,16.14,La Libertad Avanza
13,Patricia Bullrich,54622,36.52,Juntos por el Cambio,Horacio R. Larreta,36959,24.71,Juntos por el Cambio,Javier Milei,20535,13.73,La Libertad Avanza
14,Patricia Bullrich,52539,37.94,Juntos por el Cambio,Horacio R. Larreta,32688,23.6,Juntos por el Cambio,Javier Milei,18612,13.44,La Libertad Avanza
15,Patricia Bullrich,24715,24.63,Juntos por el Cambio,Horacio R. Larreta,19832,19.76,Juntos por el Cambio,Sergio Massa,18443,18.38,Unión por la Patria
