comuna,partido_primero,porc_primero,votos_primero,partido_segundo,porc_segundo,votos_segundo,partido_tercero,porc_tercero,votos_tercero
01,Juntos por el Cambio,46.79,50301,Unión por la Patria,23.9,25697,La Libertad Avanza,19.26,20714
02,Juntos por el Cambio,65.56,59254,Unión por la Patria,14.25,12883,La Libertad Avanza,13.8,12473
03,Juntos por el Cambio,42.23,41754,Unión por la Patria,26.55,26251,La Libertad Avanza,19.73,19510
04,Juntos por el Cambio,37.38,42053,Unión por la Patria,28.58,32161,La Libertad Avanza,21.85,24587
05,Juntos por el Cambio,43.98,43863,Unión por la Patria,27.71,27640,La Libertad Avanza,16.43,16393
06,Juntos por el Cambio,51.5,58260,Unión por la Patria,23.87,27006,La Libertad Avanza,14.27,16146
07,Juntos por el Cambio,43.42,51624,Unión por la Patria,25.28,30066,La Libertad Avanza,20.27,24100
08,Juntos por el Cambio,31.95,29640,Unión por la Patria,28.9,26806,La Libertad Avanza,27.49,25504
09,Juntos por el Cambio,40.42,40388,Unión por la Patria,25.72,25694,La Libertad Avanza,22.18,22158
10,Juntos por el Cambio,44.75,45772,Unión por la Patria,24.48,25040,La Libertad Avanza,19.01,19447
11,Juntos por el Cambio,48.79,60284,Unión por la Patria,23.28,28760,La Libertad Avanza,17.29,21371
12,Juntos por el Cambio,50.75,68716,Unión por la Patria,22.89,30993,La Libertad Avanza,16.14,21857
13,Juntos por el Cambio,61.23,91581,Unión por la Patria,16.96,25370,La Libertad Avanza,13.73,20535
14,Juntos por el Cambio,61.55,85227,Unión por la Patria,17.62,24404,La Libertad Avanza,13.44,18612
15,Juntos por el Cambio,44.4,44547,Unión por la Patria,28.19,28283,La Libertad Avanza,15.63,15690
