comuna,votos,porcentaje,partido,espacio,candidato
99,476003,28.28,Juntos por el Cambio,jxc,Patricia Bullrich
99,337179,20.03,Juntos por el Cambio,jxc,Horacio R. Larreta
99,276905,16.44,Unión por la Patria,up,Sergio Massa
99,120109,7.13,Unión por la Patria,up,Juan Grabois
99,299097,17.77,La Libertad Avanza,libertarios,Javier Milei
99,62247,3.69,FIT-U,izquierda,Myriam Bregman
99,15759,0.94,FIT-U,izquierda,Gabriel Solano
99,22233,1.32,Principios y Valores,otros,Guillermo Moreno
99,15886,0.94,Hacemos por Nuestro País,peronismo,Juan Schiaretti
99,7198,0.42,Nuevo MAS,izquierda,Manuela Castañeira
99,4936,0.29,MIJD,otros,Santiago Cúneo
99,1249,0.07,MIJD,otros,Raúl Castells
99,4454,0.26,Política Obrera,izquierda,Marcelo Ramal
99,3754,0.22,Libres del Sur,otros,Jesús Escobar
99,2715,0.16,Fte. Patriota Federal,otros,César Biondini
99,2691,0.15,Movimiento de Acción Vecinal,otros,Raúl Albarracín
99,2230,0.13,Ucedé,otros,Andrés Passamonti
99,105,0.01,Frente LIBER.AR,otros,Julio Bárbaro
99,41,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
99,21,0.00,Frente LIBER.AR,otros,Ramiro Vasena
99,23,0.00,Proyecto Joven,otros,Reina Ibañez
99,20,0.00,Proyecto Joven,otros,Martín A. Ortiz
99,18,0.00,Proyecto Joven,otros,Mempo Giardinelli
99,28143,1.65,Blancos,no,Blancos
99,16023,0.94,Nulos,no,Nulos
99,915,0.05,Impugnados,no,Impugnados
01,31222,29.04,Juntos por el Cambio,jxc,Patricia Bullrich
01,19074,17.74,Juntos por el Cambio,jxc,Horacio R. Larreta
01,18060,16.80,Unión por la Patria,up,Sergio Massa
01,7635,7.10,Unión por la Patria,up,Juan Grabois
01,20714,19.26,La Libertad Avanza,libertarios,Javier Milei
01,3413,3.17,FIT-U,izquierda,Myriam Bregman
01,1088,1.01,FIT-U,izquierda,Gabriel Solano
01,1389,1.29,Principios y Valores,otros,Guillermo Moreno
01,970,0.90,Hacemos por Nuestro País,peronismo,Juan Schiaretti
01,493,0.45,Nuevo MAS,izquierda,Manuela Castañeira
01,326,0.30,MIJD,otros,Santiago Cúneo
01,97,0.09,MIJD,otros,Raúl Castells
01,292,0.27,Política Obrera,izquierda,Marcelo Ramal
01,263,0.24,Libres del Sur,otros,Jesús Escobar
01,204,0.18,Fte. Patriota Federal,otros,César Biondini
01,185,0.17,Ucedé,otros,Andrés Passamonti
01,170,0.15,Movimiento de Acción Vecinal,otros,Raúl Albarracín
01,2,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
01,1,0.00,Frente LIBER.AR,otros,Ramiro Vasena
01,1,0.00,Frente LIBER.AR,otros,Julio Bárbaro
01,1,0.01,Proyecto Joven,otros,Mempo Giardinelli
01,1,0.01,Proyecto Joven,otros,Martín A. Ortiz
01,0,0.00,Proyecto Joven,otros,Reina Ibañez
01,1888,1.73,Blancos,no,Blancos
01,1037,0.95,Nulos,no,Nulos
01,53,0.04,Impugnados,no,Impugnados
02,38865,43.00,Juntos por el Cambio,jxc,Patricia Bullrich
02,20383,22.55,Juntos por el Cambio,jxc,Horacio R. Larreta
02,9054,10.01,Unión por la Patria,up,Sergio Massa
02,3828,4.23,Unión por la Patria,up,Juan Grabois
02,12473,13.80,La Libertad Avanza,libertarios,Javier Milei
02,2011,2.22,FIT-U,izquierda,Myriam Bregman
02,467,0.52,FIT-U,izquierda,Gabriel Solano
02,670,0.74,Hacemos por Nuestro País,peronismo,Juan Schiaretti
02,665,0.73,Principios y Valores,otros,Guillermo Moreno
02,185,0.20,Nuevo MAS,izquierda,Manuela Castañeira
02,141,0.15,MIJD,otros,Santiago Cúneo
02,23,0.03,MIJD,otros,Raúl Castells
02,116,0.12,Política Obrera,izquierda,Marcelo Ramal
02,114,0.12,Libres del Sur,otros,Jesús Escobar
02,82,0.09,Fte. Patriota Federal,otros,César Biondini
02,70,0.07,Movimiento de Acción Vecinal,otros,Raúl Albarracín
02,58,0.06,Ucedé,otros,Andrés Passamonti
02,1,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
02,0,0.00,Frente LIBER.AR,otros,Ramiro Vasena
02,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
02,1,0.01,Proyecto Joven,otros,Martín A. Ortiz
02,0,0.00,Proyecto Joven,otros,Mempo Giardinelli
02,0,0.00,Proyecto Joven,otros,Reina Ibañez
02,1163,1.27,Blancos,no,Blancos
02,561,0.61,Nulos,no,Nulos
02,45,0.04,Impugnados,no,Impugnados
03,24009,24.28,Juntos por el Cambio,jxc,Patricia Bullrich
03,17741,17.94,Juntos por el Cambio,jxc,Horacio R. Larreta
03,18475,18.69,Unión por la Patria,up,Sergio Massa
03,7773,7.86,Unión por la Patria,up,Juan Grabois
03,19510,19.73,La Libertad Avanza,libertarios,Javier Milei
03,4210,4.25,FIT-U,izquierda,Myriam Bregman
03,1018,1.03,FIT-U,izquierda,Gabriel Solano
03,1445,1.46,Principios y Valores,otros,Guillermo Moreno
03,984,0.99,Hacemos por Nuestro País,peronismo,Juan Schiaretti
03,521,0.52,Nuevo MAS,izquierda,Manuela Castañeira
03,361,0.36,MIJD,otros,Santiago Cúneo
03,98,0.10,MIJD,otros,Raúl Castells
03,348,0.35,Política Obrera,izquierda,Marcelo Ramal
03,238,0.24,Libres del Sur,otros,Jesús Escobar
03,182,0.18,Fte. Patriota Federal,otros,César Biondini
03,174,0.17,Movimiento de Acción Vecinal,otros,Raúl Albarracín
03,154,0.15,Ucedé,otros,Andrés Passamonti
03,1,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
03,0,0.00,Frente LIBER.AR,otros,Ramiro Vasena
03,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
03,1,0.01,Proyecto Joven,otros,Martín A. Ortiz
03,0,0.00,Proyecto Joven,otros,Mempo Giardinelli
03,0,0.00,Proyecto Joven,otros,Reina Ibañez
03,1621,1.62,Blancos,no,Blancos
03,1059,1.05,Nulos,no,Nulos
03,52,0.05,Impugnados,no,Impugnados
04,23041,20.48,Juntos por el Cambio,jxc,Patricia Bullrich
04,19008,16.90,Juntos por el Cambio,jxc,Horacio R. Larreta
04,23111,20.54,Unión por la Patria,up,Sergio Massa
04,9047,8.04,Unión por la Patria,up,Juan Grabois
04,24587,21.85,La Libertad Avanza,libertarios,Javier Milei
04,4383,3.89,FIT-U,izquierda,Myriam Bregman
04,1521,1.35,FIT-U,izquierda,Gabriel Solano
04,1755,1.56,Principios y Valores,otros,Guillermo Moreno
